# MT5 closed-trade history, Fusion Markets demo, transcribed 2026-08-14 from
# terminal History tab screenshot. `profit` (USD) is authoritative; prices are
# as-read and may have single-digit OCR slips (rows flagged in `note`).
# Rows with empty close_time are positions still open on 2026-08-14 (not shown
# in the History tab); their open_time is inferred from signal/trade timing.
# Account: initial 1000.00 on 2026-06-02 + 1000.00 deposit = 2000.00 total.
# MT5 footer: Profit -77.15, Balance 1922.85 (gap vs profit-column sum ~ -7.5 = swaps).
open_time,symbol,side,volume,open_price,close_time,close_price,profit,note
2026-06-02 23:28:41,nzdusd,buy,0.01,0.59241,2026-06-23 22:34:53,0.56682,-25.59,
2026-06-02 23:29:30,audusd,buy,0.01,0.71817,2026-06-23 22:34:53,0.69166,-26.51,
2026-06-03 07:34:58,gbpaud,buy,0.01,1.87704,2026-06-16 00:13:07,1.89582,13.28,
2026-06-16 00:14:09,audjpy,buy,0.01,113.435,2026-06-23 22:34:45,111.717,-10.64,
2026-06-23 22:35:27,euraud,buy,0.01,1.64561,2026-07-01 13:07:23,1.65302,5.11,
2026-06-23 23:35:58,usdcad,buy,0.01,1.42105,2026-07-01 13:07:29,1.42216,0.78,
2026-06-23 22:36:28,usdchf,buy,0.01,0.80977,2026-07-01 13:07:33,0.81034,0.70,
2026-07-01 13:07:58,audjpy,buy,0.01,112.099,2026-07-08 13:34:54,112.417,1.96,
2026-07-01 13:08:23,audusd,buy,0.01,0.68905,2026-07-08 13:35:03,0.69230,3.25,
2026-07-01 13:21:52,audjpy,buy,0.01,112.130,2026-07-01 13:25:39,112.115,-0.09,fumble
2026-07-01 13:22:03,audusd,buy,0.01,0.68926,2026-07-01 13:25:44,0.68909,-0.02,fumble
2026-07-01 13:22:19,gbpusd,buy,0.01,1.32502,2026-07-01 13:25:54,1.32491,-0.11,fumble
2026-07-01 13:22:30,nzdusd,buy,0.01,0.56753,2026-07-08 13:35:27,0.57042,2.89,
2026-07-01 13:22:44,usdchf,buy,0.01,0.81011,2026-07-01 13:32:02,0.80976,-0.43,fumble
2026-07-01 13:24:14,gbpusd,sell,0.01,1.32500,2026-07-15 10:36:04,1.34077,-15.77,
2026-07-01 13:24:23,usdchf,sell,0.01,0.81009,2026-07-01 13:26:02,0.81019,-0.11,fumble
2026-07-01 13:27:26,eurusd,sell,0.01,1.13916,2026-07-08 13:35:13,1.14134,-2.18,
2026-07-01 13:32:07,usdchf,sell,0.01,0.80979,2026-07-08 13:35:35,0.80735,3.02,
2026-07-01 13:32:26,eurusd,buy,0.01,1.13947,2026-07-01 13:33:34,1.13955,-0.08,fumble
2026-07-08 13:36:25,audjpy,sell,0.01,112.376,2026-07-15 10:35:59,113.329,-5.87,
2026-07-08 13:36:51,cadjpy,sell,0.01,114.606,2026-07-15 10:36:00,115.492,-5.46,
2026-07-08 13:37:04,euraud,buy,0.01,1.64926,2026-07-15 10:36:02,1.63566,-9.50,
2026-07-08 13:37:17,gbpaud,buy,0.01,1.92936,2026-07-15 10:36:03,1.92000,-6.54,
2026-07-08 13:37:49,usdcad,buy,0.01,1.41702,2026-07-15 10:36:05,1.40523,-8.39,
2026-07-15 10:36:27,audjpy,buy,0.01,113.327,2026-08-07 23:36:08,111.475,-11.74,
2026-07-15 10:36:42,audusd,buy,0.01,0.69832,2026-07-30 23:46:08,,4.50,close_price_unreadable
2026-07-15 10:36:55,eurusd,sell,0.01,1.14221,2026-07-30 23:46:16,1.15280,-10.59,
2026-07-15 10:37:10,nzdusd,buy,0.01,0.58178,2026-07-30 23:46:24,0.58779,6.01,
2026-07-15 10:37:24,usdcad,sell,0.01,1.40515,2026-08-14 15:21:02,1.38749,12.73,
2026-07-15 10:37:36,usdchf,sell,0.01,0.80967,2026-07-30 23:46:37,,5.36,close_price_unreadable
2026-07-30 23:46:52,cadjpy,buy,0.01,113.920,2026-08-14 15:10:48,114.556,4.00,
2026-07-30 23:47:12,euraud,buy,0.01,1.63995,2026-08-07 23:36:08,,2.80,close_price_unreadable;signal_said_SHORT
2026-07-30 23:47:25,gbpaud,sell,0.01,1.91564,2026-08-14 15:20:58,1.91166,2.82,
2026-07-30 23:47:40,usdjpy,buy,0.01,,2026-08-14 16:44:00,,,account_expired;position_vanished;open_time_estimated
2026-08-07 23:36:19,eurusd,sell,0.01,1.15568,2026-08-07 23:36:27,1.15580,-0.12,fumble
2026-08-07 23:36:30,eurusd,buy,0.01,1.15580,2026-08-14 15:20:52,1.15681,1.01,
2026-08-07 23:36:45,usdchf,sell,0.01,,2026-08-14 16:44:00,,,account_expired;position_vanished;open_time_estimated
2026-08-14 15:21:30,audjpy,buy,0.01,,2026-08-14 16:44:00,,,account_expired;position_vanished;opened_today_estimated
2026-08-14 15:21:30,eurjpy,buy,0.01,,2026-08-14 16:44:00,,,account_expired;position_vanished;opened_today_estimated
2026-08-14 15:21:30,eurusd,sell,0.01,,2026-08-14 16:44:00,,,account_expired;position_vanished;opened_today_estimated
2026-08-14 15:21:30,gbpusd,sell,0.01,,2026-08-14 16:44:00,,,account_expired;position_vanished;opened_today_estimated
